"Company Name","Address","City","State","ZIP","Phone","Website","Owner/Manager","Services/Notes","Approx Distance from Paradise TX"
"TLR Welding & Fabrication","122 County Road 3341","Paradise","TX","76073","(940) 213-0089","","","Welding, metal fabrication, building contractors. BBB A+ rated.","0 miles (in Paradise)"
"Lowery Metals (Lowery Wholesale)","3407 TX-114","Paradise","TX","76073","(940) 969-2527","https://lowerymetals.com","Preston Lowery (founder)","Metal building supplies, steel service center, custom fabrication. Family-run. Also has Decatur location at (940) 627-0967.","0 miles (in Paradise)"
"Guia's Machine Shop","500 N Hwy 287","Decatur","TX","76234","(940) 627-1355","","","Machine shop, engraving, tool repair, metal supply. Est. 1989. Cash/check only. Open Mon-Sat 8am-6pm.","~15 miles"
"Decatur Machine Services Inc.","3720 US Hwy 380 West","Decatur","TX","76234","(940) 627-1062","https://decaturms.com","Lisa Bivens (President); Miles Bivens (GM)","Precision CNC machining (3, 4, 5-axis). 32,000 sq ft climate-controlled facility. ISO 9001:2015 & AS9100 certified. Aerospace industry focus. Woman-owned. Acquired by Precision Aerospace Holdings (2023).","~15 miles"
"ACAM Precision Machine / Allen Street Fabrication","903 S Allen St","Boyd","TX","76023","(940) 433-2652","https://acammachine.com","Alina Wendling (President)","40,000 sq ft precision machine & fabrication shop. CNC, milling, turning, assembly, jigs, bushings, state-certified welding. Est. 2008, new ownership 2020.","~18 miles"
"MWS (Metal Fabrication)","920 W Highway 114","Boyd","TX","76023","(940) 433-3427","","Mike Kline (Owner)","Metal fabrication services.","~18 miles"
"G & D Welding","254 CR 3503 Ste 200","Bridgeport","TX","76426","(817) 629-8276","https://ganddwelding.com","","Metal buildings, barndominiums (turnkey or dried-in), commercial/municipal projects. Mobile welding services. BBB A+ rated.","~20 miles"
"Freedom Welding & Fabrication","","Springtown","TX","76082","(817) 680-5746","https://www.freedomweldingandfabricationtx.com","","Welding, metal fabrication, steel erection, plasma cutting. 15+ years in business. Serves Springtown, Weatherford, Azle, Fort Worth areas.","~25 miles"
"Western Fabrication & Construction Inc.","","Springtown","TX","76082","(817) 319-9027","https://www.westernfabandconstruction.com","Matt Green (Owner)","Custom fabrication, welding, repair. Residential, commercial, farm & ranch. 20+ years experience. Serves Paradise, Decatur, Azle, Weatherford, Fort Worth.","~25 miles"
"BCS Metal Construction LLC","","Springtown","TX","","(682) 465-6780","https://bcstxllc.com","Jarod Bookout (Owner)","Commercial structural steel welding & fabrication. Metal buildings, barndominiums, steel erection. Serves Springtown, Azle, Weatherford, Decatur, Fort Worth.","~25 miles"
"HL Welding Worx","","Azle","TX","76020","(469) 794-5308","","","Heavy equipment repair, pipe fence, metal fabrication, mobile welding. Open 24/7.","~30 miles"
"Phillips Welding Supply","1822 Fort Worth Hwy","Weatherford","TX","76086","(817) 596-0450","https://www.phillipsweldingsupply.com","","Welding equipment, steel & pipe sales, steel building components, structural steel & pipe, welding supplies. Delivery service. Since 1975.","~35 miles"
"Wells Custom Fabrication","702 FM 1195","Mineral Wells","TX","76067","(940) 328-4880","","","Custom metal fabrication. Est. 2002. ~4 employees. Fabricated metal products.","~35 miles"
"H&H Precision Machining Inc.","3675 FM 51","Decatur","TX","76234","","https://hhprecisionmachining.com","Phillip Holt (Founder)","Large-scale CNC production machine shop. Billet aluminum & metal parts, tooling supplies. Automotive, industrial, medical projects.","~15 miles"
"Holloway Company Inc.","1200 Jarvis Rd","Saginaw","TX","76179","(817) 232-8663","https://www.hollowaycompanyinc.com","Lynton Holloway (President)","Structural steel rolling, plate rolling, ASME code vessels, shop-fabricated tanks, custom plate cutting, tube/pipe/beam bending. 53,000 sq ft facility. Since 1971. Serves TX, OK, AR, NM, LA, CO, AZ.","~40 miles"
"A-Fab Industries LLC","8330 N Riverside Dr","Fort Worth","TX","76244","(817) 337-4776","https://afabindustries.com","Scott Anderson (Owner); D'Lana Anderson (VP/Co-Owner)","Full-line custom steel fabricator. 25,000 sq ft shop. Railroad, transportation, recycling, mechanical, industrial, architectural, structural applications. Family-owned since 1997.","~40 miles"
"Anchor Fabrication","1200 Lawson Rd","Saginaw","TX","76131","(817) 232-4575","https://anchorfabrication.com","","One of largest contract metal manufacturers in the US. Heavy gauge metal, large welded components & assemblies. Tool design & prototyping. ISO 9001 certified. 337,000 sq ft Fort Worth facility.","~40 miles"
"Short Iron Store Metals & Supply","1128 Blue Mound Rd W Ste 301","Haslet","TX","76052","(817) 367-9533","https://shortironstore.com","","Metal distributor & CNC plasma cutting. Largest pre-cut metal selection in TX. Steel, aluminum, tube, pipe, plate, sheet metal. Free saw cuts. Custom fabrication. 4.9-star rating.","~40 miles"
"Halsey Manufacturing","N Mayhill Rd & McKinney St","Denton","TX","","(940) 566-3306","https://www.halseymfg.com","","CNC machine shop since 1979. CNC turning & milling. Metals, plastics, wood, foam. Multi-shift operation. Local, national, international clients.","~50 miles"
"B & C Gear and Machine","","Denton","TX","","","https://www.bcgearmachine.com","","CNC machine & gear shop. Helical gears, internal/external splines, spur gears, worm gears, sprockets. 15+ years experience. Single parts to thousands.","~50 miles"
"Innovative Welding LLC","","Bridgeport","TX","76426","","https://www.facebook.com/innovativestructuralwelding/","","Metal buildings, RV covers, carports, loafing sheds, gates, pipe fencing.","~20 miles"
